2024-06-11 07:58:48 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:48 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:48 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:48 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:48 install procps:arm64 <none> 2:3.3.17-6ubuntu2
2024-06-11 07:58:48 status half-installed procps:arm64 2:3.3.17-6ubuntu2
2024-06-11 07:58:48 status unpacked procps:arm64 2:3.3.17-6ubuntu2
2024-06-11 07:58:48 install sed:arm64 <none> 4.8-1ubuntu2
2024-06-11 07:58:48 status half-installed sed:arm64 4.8-1ubuntu2
2024-06-11 07:58:49 status unpacked sed:arm64 4.8-1ubuntu2
2024-06-11 07:58:49 install sensible-utils:all <none> 0.0.17
2024-06-11 07:58:49 status half-installed sensible-utils:all 0.0.17
2024-06-11 07:58:49 status unpacked sensible-utils:all 0.0.17
2024-06-11 07:58:49 install sysvinit-utils:arm64 <none> 3.01-1ubuntu1
2024-06-11 07:58:49 status half-installed sysvinit-utils:arm64 3.01-1ubuntu1
2024-06-11 07:58:49 status unpacked sysvinit-utils:arm64 3.01-1ubuntu1
2024-06-11 07:58:49 install tar:arm64 <none> 1.34+dfsg-1build3
2024-06-11 07:58:49 status half-installed tar:arm64 1.34+dfsg-1build3
2024-06-11 07:58:49 status unpacked tar:arm64 1.34+dfsg-1build3
2024-06-11 07:58:49 install usrmerge:all <none> 25ubuntu2
2024-06-11 07:58:49 status half-installed usrmerge:all 25ubuntu2
2024-06-11 07:58:49 status unpacked usrmerge:all 25ubuntu2
2024-06-11 07:58:49 install util-linux:arm64 <none> 2.37.2-4ubuntu3
2024-06-11 07:58:49 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:49 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2024-06-11 07:58:49 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2024-06-11 07:58:49 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2024-06-11 07:58:49 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2024-06-11 07:58:49 startup packages configure
2024-06-11 07:58:49 configure lsb-base:all 11.1.0ubuntu4 <none>
2024-06-11 07:58:49 status unpacked lsb-base:all 11.1.0ubuntu4
2024-06-11 07:58:49 status half-configured lsb-base:all 11.1.0ubuntu4
2024-06-11 07:58:49 status installed lsb-base:all 11.1.0ubuntu4
2024-06-11 07:58:49 configure libtirpc-common:all 1.3.2-2build1 <none>
2024-06-11 07:58:49 status unpacked libtirpc-common:all 1.3.2-2build1
2024-06-11 07:58:49 status half-configured libtirpc-common:all 1.3.2-2build1
2024-06-11 07:58:49 status installed libtirpc-common:all 1.3.2-2build1
2024-06-11 07:58:49 configure libaudit-common:all 1:3.0.7-1build1 <none>
2024-06-11 07:58:49 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-06-11 07:58:49 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-06-11 07:58:49 status installed libaudit-common:all 1:3.0.7-1build1
2024-06-11 07:58:49 configure libsemanage-common:all 3.3-1build2 <none>
2024-06-11 07:58:49 status unpacked libsemanage-common:all 3.3-1build2
2024-06-11 07:58:49 status half-configured libsemanage-common:all 3.3-1build2
2024-06-11 07:58:49 status installed libsemanage-common:all 3.3-1build2
2024-06-11 07:58:49 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2024-06-11 07:58:49 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 configure ncurses-base:all 6.3-2 <none>
2024-06-11 07:58:49 status unpacked ncurses-base:all 6.3-2
2024-06-11 07:58:49 status half-configured ncurses-base:all 6.3-2
2024-06-11 07:58:49 status installed ncurses-base:all 6.3-2
2024-06-11 07:58:49 configure sensible-utils:all 0.0.17 <none>
2024-06-11 07:58:49 status unpacked sensible-utils:all 0.0.17
2024-06-11 07:58:49 status half-configured sensible-utils:all 0.0.17
2024-06-11 07:58:49 status installed sensible-utils:all 0.0.17
2024-06-11 07:58:49 configure libcrypt1:arm64 1:4.4.27-1 <none>
2024-06-11 07:58:49 status unpacked libcrypt1:arm64 1:4.4.27-1
2024-06-11 07:58:49 status half-configured libcrypt1:arm64 1:4.4.27-1
2024-06-11 07:58:49 status installed libcrypt1:arm64 1:4.4.27-1
2024-06-11 07:58:49 configure libgcc-s1:arm64 12-20220319-1ubuntu1 <none>
2024-06-11 07:58:49 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 status half-configured libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 status installed libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:49 configure libc6:arm64 2.35-0ubuntu3 <none>
